|DP|DPNOM|DPMP|MPIO|AÑO|ÁREA GEOGRÁFICA|Total population_x|AUX_LOC|TONELADAS DE RESIDUOS|TONELADAS APROVECHADAS|Tasa_de_aprovechamiento|Total population_y|Id Empresa|Empresa|Nombre del departamento|Nombre del municipio|Nombre sitio disposición final|NUSD|Fecha inicio operaciones|Tipo disposición final|Longitud|Latitud|Propietario predio del SDF|Entidad otorgó autorización|Tipo autorización ambiental|No. Res. de la autorización|Fecha Res. de la Autorización|Fecha terminación vigencia Res|Fecha terminación vida útil|fecha hoy|años_vida|Capacidad de diseño|Entidad otorgó permiso vertimi|No.Res. permiso vertimiento|Fecha Res. permiso vertimiento|Fecha term permiso vertimiento|Fecha aplicación metodología|Fecha de certificación
80|||||2021|||ANTIOQUIA-ALEJANDRIA|||0.0||838|UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS MUNICIPIO DE ALEJANDRIA|ANTIOQUIA|ALEJANDRIA|MUNICIPIO ALEJANDRIA|1327305021|1997-11-24|Relleno sanitario|-760000000|70000000.0|"29|MUNICIPIO"|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|Aprobacion PMA|112-4761|2007-09-24|2024-06-18|2024-06-18|2022-06-25|1.0|12053.0|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|135-0117-2016|2016-04-01|2024-06-10|2016-04-01|2019-10-02
81|95.0|GUAVIARE|95001.0|SAN JOSE DEL GUAVIARE|2021|Cabecera Municipal|39.613|GUAVIARE-SAN JOSE DEL GUAVIARE|11545.359999999999|0.0|0.0|684048.0|1874|AMBIENTAR E.S.P. S.A.|GUAVIARE|SAN JOSE DEL GUAVIARE|EL ALGARROBO|960695001|1996-08-19|celda de contingencia|-723600260|-23223360.0|"28|EMPRESA OPERADORA"|"40|CORPORACIÓN PARA EL DESARROLLO SOSTENIBLE DEL NORTE Y ORIENTE AMAZÓNICO - CDA"|Licencia ambiental|DSGV-051|2015-05-22|2017-05-22|2025-12-31|2022-06-25|3.0|313903.9|"40|CORPORACIÓN PARA EL DESARROLLO SOSTENIBLE DEL NORTE Y ORIENTE AMAZÓNICO - CDA"|DSGV-051|2015-05-22|2017-05-22|2016-04-01|2018-06-28
82|95.0|GUAVIARE|95001.0|SAN JOSE DEL GUAVIARE|2021|Centros Poblados y Rural Disperso|17.391|GUAVIARE-SAN JOSE DEL GUAVIARE|11545.359999999999|0.0|0.0|684048.0|1874|AMBIENTAR E.S.P. S.A.|GUAVIARE|SAN JOSE DEL GUAVIARE|EL ALGARROBO|960695001|1996-08-19|celda de contingencia|-723600260|-23223360.0|"28|EMPRESA OPERADORA"|"40|CORPORACIÓN PARA EL DESARROLLO SOSTENIBLE DEL NORTE Y ORIENTE AMAZÓNICO - CDA"|Licencia ambiental|DSGV-051|2015-05-22|2017-05-22|2025-12-31|2022-06-25|3.0|313903.9|"40|CORPORACIÓN PARA EL DESARROLLO SOSTENIBLE DEL NORTE Y ORIENTE AMAZÓNICO - CDA"|DSGV-051|2015-05-22|2017-05-22|2016-04-01|2018-06-28
83|95.0|GUAVIARE|95001.0|SAN JOSE DEL GUAVIARE|2021|Total|57.004|GUAVIARE-SAN JOSE DEL GUAVIARE|11545.359999999999|0.0|0.0|684048.0|1874|AMBIENTAR E.S.P. S.A.|GUAVIARE|SAN JOSE DEL GUAVIARE|EL ALGARROBO|960695001|1996-08-19|celda de contingencia|-723600260|-23223360.0|"28|EMPRESA OPERADORA"|"40|CORPORACIÓN PARA EL DESARROLLO SOSTENIBLE DEL NORTE Y ORIENTE AMAZÓNICO - CDA"|Licencia ambiental|DSGV-051|2015-05-22|2017-05-22|2025-12-31|2022-06-25|3.0|313903.9|"40|CORPORACIÓN PARA EL DESARROLLO SOSTENIBLE DEL NORTE Y ORIENTE AMAZÓNICO - CDA"|DSGV-051|2015-05-22|2017-05-22|2016-04-01|2018-06-28
84|||||2021|||ANTIOQUIA-ANGELOPOLIS|||0.0||20102|JUNTA DE SERVICIOS PÚBLICOS DEL MUNICIPIO DE ANGELOPOLIS|ANTIOQUIA|ANGELOPOLIS|RELLENO SANITARIO DEL MUNICIPIO DE ANGELOPOLIS|680205036|2005-10-11|Relleno sanitario|-757196389|61033056.0|"29|MUNICIPIO"|"53|CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA -  CORANTIOQUIA"|Licencia ambiental|2875|2005-10-11|2019-10-11|2019-10-11|2022-06-25|0.0|7200.0|"53|CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA -  CORANTIOQUIA"|2875|2005-10-11|2019-10-11|2016-01-01|2017-08-29
85|||||2021|||ANTIOQUIA-ANGOSTURA|||0.0||23008|LA EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE ANGOSTURA S.A. E.S.P.|ANTIOQUIA|ANGOSTURA|BUENAVISTA III|198105038|1990-11-14|Relleno sanitario|-753352778|68852778.0|"29|MUNICIPIO"|"53|CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA -  CORANTIOQUIA"|Licencia ambiental|130TH 7955|2010-09-28|2026-06-28|2026-06-28|2022-06-25|4.0|150000.0|"53|CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA -  CORANTIOQUIA"|130TH 7955|2010-09-28|2026-06-28|2016-04-01|2016-08-31
86|5.0|ANTIOQUIA|5148.0|EL CARMEN DE VIBORAL|2021|Cabecera Municipal|38.466|ANTIOQUIA-EL CARMEN DE VIBORAL|6795.36|1094.2|0.1386896100669746|762768.0|96|EMPRESA DE SERVICIOS PÚBLICOS DE EL CARMEN DE VIBORAL E.S.P.|ANTIOQUIA|EL CARMEN DE VIBORAL|EL CARMEN DE VIBORAL|640205148|2003-11-11|Relleno sanitario|-751910480|60601010.0|"28|EMPRESA OPERADORA"|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|Aprobacion PMA|112-4658|2003-11-11|2026-11-11|2026-11-11|2022-06-25|4.0|74.16|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|131-0576|2016-04-29|2026-11-11|2016-05-01|2017-08-08
87|5.0|ANTIOQUIA|5148.0|EL CARMEN DE VIBORAL|2021|Centros Poblados y Rural Disperso|25.098|ANTIOQUIA-EL CARMEN DE VIBORAL|6795.36|1094.2|0.1386896100669746|762768.0|96|EMPRESA DE SERVICIOS PÚBLICOS DE EL CARMEN DE VIBORAL E.S.P.|ANTIOQUIA|EL CARMEN DE VIBORAL|EL CARMEN DE VIBORAL|640205148|2003-11-11|Relleno sanitario|-751910480|60601010.0|"28|EMPRESA OPERADORA"|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|Aprobacion PMA|112-4658|2003-11-11|2026-11-11|2026-11-11|2022-06-25|4.0|74.16|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|131-0576|2016-04-29|2026-11-11|2016-05-01|2017-08-08
88|5.0|ANTIOQUIA|5148.0|EL CARMEN DE VIBORAL|2021|Total|63.564|ANTIOQUIA-EL CARMEN DE VIBORAL|6795.36|1094.2|0.1386896100669746|762768.0|96|EMPRESA DE SERVICIOS PÚBLICOS DE EL CARMEN DE VIBORAL E.S.P.|ANTIOQUIA|EL CARMEN DE VIBORAL|EL CARMEN DE VIBORAL|640205148|2003-11-11|Relleno sanitario|-751910480|60601010.0|"28|EMPRESA OPERADORA"|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|Aprobacion PMA|112-4658|2003-11-11|2026-11-11|2026-11-11|2022-06-25|4.0|74.16|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|131-0576|2016-04-29|2026-11-11|2016-05-01|2017-08-08
89|||||2021|||ANTIOQUIA-ANORI|||0.0||41219|EMPRESA DE SERVICIOS PUBLICOS ANORI S.A. E.S.P.|ANTIOQUIA|ANORI|SAN ANTONIO|2725805040|2010-07-19|Relleno sanitario|-751523550|70372340.0|"29|MUNICIPIO"|"53|CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA -  CORANTIOQUIA"|Licencia ambiental|130TH7805|2010-07-15|2027-07-15|2027-07-15|2022-06-25|5.0|8221.79|"53|CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA -  CORANTIOQUIA"|130TH7805|2010-07-15|2027-07-15|2019-07-01|2022-02-15
90|||||2021|||ANTIOQUIA-ANZA|||0.0||697|OFICINA DE SERVICIOS PUBLICOS MUNICIPIO DE ANZA|ANTIOQUIA|ANZA|LOS CEDROS|630105044|1992-12-01|Relleno sanitario|-758528000|63042870.0|"29|MUNICIPIO"|"53|CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA -  CORANTIOQUIA"|otro tipo de acto administrativo||1992-12-01|2017-06-19|2017-06-19|2022-06-25|0.0|8000.0|"92|NO CUENTA CON PERMISO DE VERTIMIENTO DE LIXIVIADOS"||||2016-01-01|2017-08-01
91|||||2021|||ANTIOQUIA-ARGELIA|||0.0||23041|EMPRESA DE SERVICIOS PÙBLICOS ARGELIA DE MARÍA S.A|ANTIOQUIA|ARGELIA|RELLNO SANITARIO ARGELIA|2790905055|2010-10-12|Relleno sanitario|-750000000|50000000.0|"29|MUNICIPIO"|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|otro tipo de acto administrativo|133-094-2010-12|2010-10-12|2035-10-12|2035-10-12|2022-06-25|13.0|15074231.0|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|133-094-2010-12|2010-10-12|2035-10-12|2021-07-31|2022-03-22
92|5.0|ANTIOQUIA|5697.0|EL SANTUARIO|2021|Cabecera Municipal|27.209|ANTIOQUIA-EL SANTUARIO|6554.399999999999|777.8000000000001|0.10608003055017597|446076.0|2268|EMPRESAS PUBLICAS DEL MUNICIPIO DE EL SANTUARIO E.S.P.|ANTIOQUIA|EL SANTUARIO|GRANJA PARA EL MANEJO INTEGRAL DE RESIDUOS SOLIDOS|28805697|1998-10-07|Relleno sanitario|-752747380|61412280.0|"28|EMPRESA OPERADORA"|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|Licencia ambiental|112-4212|2012-10-05|2024-12-31|2024-12-31|2022-06-25|2.0|151442.0|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|131-0827|2012-09-12|2017-09-12|2016-04-01|2016-06-15
93|5.0|ANTIOQUIA|5697.0|EL SANTUARIO|2021|Centros Poblados y Rural Disperso|9.964|ANTIOQUIA-EL SANTUARIO|6554.399999999999|777.8000000000001|0.10608003055017597|446076.0|2268|EMPRESAS PUBLICAS DEL MUNICIPIO DE EL SANTUARIO E.S.P.|ANTIOQUIA|EL SANTUARIO|GRANJA PARA EL MANEJO INTEGRAL DE RESIDUOS SOLIDOS|28805697|1998-10-07|Relleno sanitario|-752747380|61412280.0|"28|EMPRESA OPERADORA"|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|Licencia ambiental|112-4212|2012-10-05|2024-12-31|2024-12-31|2022-06-25|2.0|151442.0|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|131-0827|2012-09-12|2017-09-12|2016-04-01|2016-06-15
94|5.0|ANTIOQUIA|5697.0|EL SANTUARIO|2021|Total|37.173|ANTIOQUIA-EL SANTUARIO|6554.399999999999|777.8000000000001|0.10608003055017597|446076.0|2268|EMPRESAS PUBLICAS DEL MUNICIPIO DE EL SANTUARIO E.S.P.|ANTIOQUIA|EL SANTUARIO|GRANJA PARA EL MANEJO INTEGRAL DE RESIDUOS SOLIDOS|28805697|1998-10-07|Relleno sanitario|-752747380|61412280.0|"28|EMPRESA OPERADORA"|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|Licencia ambiental|112-4212|2012-10-05|2024-12-31|2024-12-31|2022-06-25|2.0|151442.0|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|131-0827|2012-09-12|2017-09-12|2016-04-01|2016-06-15
95|5.0|ANTIOQUIA|5440.0|MARINILLA|2021|Cabecera Municipal|49.551|ANTIOQUIA-MARINILLA|13232.399999999998|1775.78|0.11832080905213024|827520.0|2303|EMPRESA DE SERVICIOS PUBLICOS DE SAN JOSE DE LA MARINILLA E.S.P.|ANTIOQUIA|MARINILLA|RELLENO SANITARIO Y GRANJA AMBIENTAL LOS SALTOS|1224805440|2016-04-01|Relleno sanitario|-753379834|11822170.0|"28|EMPRESA OPERADORA"|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|Licencia ambiental|112-0406|2007-02-13|2032-02-13|2032-02-13|2022-06-25|9.0|1182277.0|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|112-0406|2007-02-13|2023-02-13|2016-04-01|2019-05-21
96|5.0|ANTIOQUIA|5440.0|MARINILLA|2021|Centros Poblados y Rural Disperso|19.409|ANTIOQUIA-MARINILLA|13232.399999999998|1775.78|0.11832080905213024|827520.0|2303|EMPRESA DE SERVICIOS PUBLICOS DE SAN JOSE DE LA MARINILLA E.S.P.|ANTIOQUIA|MARINILLA|RELLENO SANITARIO Y GRANJA AMBIENTAL LOS SALTOS|1224805440|2016-04-01|Relleno sanitario|-753379834|11822170.0|"28|EMPRESA OPERADORA"|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|Licencia ambiental|112-0406|2007-02-13|2032-02-13|2032-02-13|2022-06-25|9.0|1182277.0|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|112-0406|2007-02-13|2023-02-13|2016-04-01|2019-05-21
97|5.0|ANTIOQUIA|5440.0|MARINILLA|2021|Total|68.960|ANTIOQUIA-MARINILLA|13232.399999999998|1775.78|0.11832080905213024|827520.0|2303|EMPRESA DE SERVICIOS PUBLICOS DE SAN JOSE DE LA MARINILLA E.S.P.|ANTIOQUIA|MARINILLA|RELLENO SANITARIO Y GRANJA AMBIENTAL LOS SALTOS|1224805440|2016-04-01|Relleno sanitario|-753379834|11822170.0|"28|EMPRESA OPERADORA"|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|Licencia ambiental|112-0406|2007-02-13|2032-02-13|2032-02-13|2022-06-25|9.0|1182277.0|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|112-0406|2007-02-13|2023-02-13|2016-04-01|2019-05-21
98|||||2021|||ANTIOQUIA-BELMIRA|||0.0||898|EMPRESAS PÚBLICAS DE BELMIRA  SA ESP|ANTIOQUIA|BELMIRA|RELLENO SANITARIO BELMIRA|2426705086|1989-06-30|Relleno sanitario|-756905587|65902570.0|"29|MUNICIPIO"|"53|CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA -  CORANTIOQUIA"|Aprobacion PMA|1|2004-06-30|2027-06-30|2027-06-30|2022-06-25|5.0|186715.0|"53|CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA -  CORANTIOQUIA"|130TH6076|2008-08-06|2018-08-06|2020-12-01|2021-09-13
99|||||2021|||ANTIOQUIA-BETANIA|||0.0||25527|EMPRESAS PUBLICAS MUNICIPALES DE BETANIA S.A E.S.P |ANTIOQUIA|BETANIA|LAS MERCEDES|2757705091|2007-12-06|Relleno sanitario|-750000000|130000000.0|"29|MUNICIPIO"|"53|CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA -  CORANTIOQUIA"|Licencia ambiental|CI1943|2007-12-06|2026-12-06|2026-12-06|2022-06-25|4.0|9.8|"53|CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA -  CORANTIOQUIA"|CI1943|2007-12-06|2026-12-06|2016-06-06|2022-03-03
100|||||2021|||ANTIOQUIA-BRICENO|||0.0||22891|EMPRESAS PÚBLICAS DE BRICEÑO S.A. E.S.P|ANTIOQUIA|BRICENO|PARQUE AMBIENTAL LLANADAS|2418705107|1997-09-19|Relleno sanitario|-755500000|12800000.0|"29|MUNICIPIO"|"53|CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA -  CORANTIOQUIA"|otro tipo de acto administrativo|DEC 883 DE 1997|1997-09-19|2017-12-31|2017-12-31|2022-06-25|0.0|118.0|"53|CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA -  CORANTIOQUIA"|883|1998-07-27|2017-12-31|2017-01-01|2021-09-07
101|||||2021|||ANTIOQUIA-CAICEDO|||0.0||2628|UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS DEL MUNICIPIO DE CAICEDO.|ANTIOQUIA|CAICEDO|PARQUE ECOLÓGICO LA LIBERTAD|1633205125|2005-11-18|Relleno sanitario|-759776194|64048919.0|"29|MUNICIPIO"|"53|CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA -  CORANTIOQUIA"|Licencia ambiental|2655|2005-11-18|2015-11-18|2015-11-18|2022-06-25|0.0|1.67|"53|CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA -  CORANTIOQUIA"|RESOLUCIÓN 130 HX-1106-5214|2011-06-03|2015-11-18|2016-01-01|2020-07-23
102|||||2021|||ANTIOQUIA-CAMPAMENTO|||0.0||565|MUNICIPIO DE CAMPAMENTO ANTIOQUIA|ANTIOQUIA|CAMPAMENTO|relleno sanitario municipal los ranchos |637305134|2002-07-24|Relleno sanitario|-751742590|65837200.0|"29|MUNICIPIO"|"53|CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA -  CORANTIOQUIA"|Licencia ambiental|TH3-2002-2|2002-07-24|2019-03-31|2019-03-31|2022-06-25|0.0|14.0|"53|CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA -  CORANTIOQUIA"|R130TH-4438|2004-10-10|2019-03-31|2016-02-01|2022-01-21
103|68.0|SANTANDER|68001.0|BUCARAMANGA|2021|Cabecera Municipal|604.186|SANTANDER-BUCARAMANGA|176018.66999999995|5965.782000000001|0.03278182248228548|7371228.0|2372|EMPRESA DE ASEO DE BUCARAMANGA S.A. E.S.P.|SANTANDER|BUCARAMANGA|EL CARRASCO|929168001|1998-08-13|Relleno sanitario|-730846700|70455400.0|"28|EMPRESA OPERADORA"|"43|CORPORACIÓN AUTÓNOMA REGIONAL PARA LA DEFENSA DE LA MESETA DE BUCARAMANGA - CDMB"|Aprobacion PMA|753|1998-08-13|2023-08-30|2023-08-30|2022-06-25|1.0|966503.0|"43|CORPORACIÓN AUTÓNOMA REGIONAL PARA LA DEFENSA DE LA MESETA DE BUCARAMANGA - CDMB"|1135|2017-12-21|2027-12-20|2016-04-01|2022-05-09
104|68.0|SANTANDER|68001.0|BUCARAMANGA|2021|Centros Poblados y Rural Disperso|10.083|SANTANDER-BUCARAMANGA|176018.66999999995|5965.782000000001|0.03278182248228548|7371228.0|2372|EMPRESA DE ASEO DE BUCARAMANGA S.A. E.S.P.|SANTANDER|BUCARAMANGA|EL CARRASCO|929168001|1998-08-13|Relleno sanitario|-730846700|70455400.0|"28|EMPRESA OPERADORA"|"43|CORPORACIÓN AUTÓNOMA REGIONAL PARA LA DEFENSA DE LA MESETA DE BUCARAMANGA - CDMB"|Aprobacion PMA|753|1998-08-13|2023-08-30|2023-08-30|2022-06-25|1.0|966503.0|"43|CORPORACIÓN AUTÓNOMA REGIONAL PARA LA DEFENSA DE LA MESETA DE BUCARAMANGA - CDMB"|1135|2017-12-21|2027-12-20|2016-04-01|2022-05-09
105|68.0|SANTANDER|68001.0|BUCARAMANGA|2021|Total|614.269|SANTANDER-BUCARAMANGA|176018.66999999995|5965.782000000001|0.03278182248228548|7371228.0|2372|EMPRESA DE ASEO DE BUCARAMANGA S.A. E.S.P.|SANTANDER|BUCARAMANGA|EL CARRASCO|929168001|1998-08-13|Relleno sanitario|-730846700|70455400.0|"28|EMPRESA OPERADORA"|"43|CORPORACIÓN AUTÓNOMA REGIONAL PARA LA DEFENSA DE LA MESETA DE BUCARAMANGA - CDMB"|Aprobacion PMA|753|1998-08-13|2023-08-30|2023-08-30|2022-06-25|1.0|966503.0|"43|CORPORACIÓN AUTÓNOMA REGIONAL PARA LA DEFENSA DE LA MESETA DE BUCARAMANGA - CDMB"|1135|2017-12-21|2027-12-20|2016-04-01|2022-05-09
106|47.0|MAGDALENA|47001.0|SANTA MARTA|2021|Cabecera Municipal|490.898|MAGDALENA-SANTA MARTA|197991.85199999998|4790.070000000001|0.023621780249227547|6563748.0|2044|INTERASEO S.A.S.  E.S.P.|MAGDALENA|SANTA MARTA|PARQUE AMBIENTAL PALANGANA|20547001|2004-07-19|Relleno sanitario|-742033000|114316000.0|"28|EMPRESA OPERADORA"|"44|CORPORACIÓN AUTÓNOMA REGIONAL DEL MAGDALENA - CORPOMAG"|Licencia ambiental|1581|2000-11-17|2022-07-01|2028-07-19|2022-06-25|6.0|0.0|"44|CORPORACIÓN AUTÓNOMA REGIONAL DEL MAGDALENA - CORPOMAG"|205|2016-02-05|2021-02-05|2016-04-01|2016-06-14
107|47.0|MAGDALENA|47001.0|SANTA MARTA|2021|Centros Poblados y Rural Disperso|56.081|MAGDALENA-SANTA MARTA|197991.85199999998|4790.070000000001|0.023621780249227547|6563748.0|2044|INTERASEO S.A.S.  E.S.P.|MAGDALENA|SANTA MARTA|PARQUE AMBIENTAL PALANGANA|20547001|2004-07-19|Relleno sanitario|-742033000|114316000.0|"28|EMPRESA OPERADORA"|"44|CORPORACIÓN AUTÓNOMA REGIONAL DEL MAGDALENA - CORPOMAG"|Licencia ambiental|1581|2000-11-17|2022-07-01|2028-07-19|2022-06-25|6.0|0.0|"44|CORPORACIÓN AUTÓNOMA REGIONAL DEL MAGDALENA - CORPOMAG"|205|2016-02-05|2021-02-05|2016-04-01|2016-06-14
108|47.0|MAGDALENA|47001.0|SANTA MARTA|2021|Total|546.979|MAGDALENA-SANTA MARTA|197991.85199999998|4790.070000000001|0.023621780249227547|6563748.0|2044|INTERASEO S.A.S.  E.S.P.|MAGDALENA|SANTA MARTA|PARQUE AMBIENTAL PALANGANA|20547001|2004-07-19|Relleno sanitario|-742033000|114316000.0|"28|EMPRESA OPERADORA"|"44|CORPORACIÓN AUTÓNOMA REGIONAL DEL MAGDALENA - CORPOMAG"|Licencia ambiental|1581|2000-11-17|2022-07-01|2028-07-19|2022-06-25|6.0|0.0|"44|CORPORACIÓN AUTÓNOMA REGIONAL DEL MAGDALENA - CORPOMAG"|205|2016-02-05|2021-02-05|2016-04-01|2016-06-14
109|||||2021|||ANTIOQUIA-CANASGORDAS|||0.0||23528|EMPRESAS PUBLICAS DE CAÑASGORDAS S.A.  E.S.P|ANTIOQUIA|CANASGORDAS|RECICLIN|637105138|2001-10-22|celda transitoria|-760653330|-30000000.0|"29|MUNICIPIO"|"65|CORPORACIÓN PARA EL DESARROLLO SOSTENIBLE DEL URABÁ ¿ CORPOURABA"|Aprobacion PMA|200-03-50-04-0503-2015|2015-11-03|2020-11-03|2020-11-03|2022-06-25|0.0|95918.0|"65|CORPORACIÓN PARA EL DESARROLLO SOSTENIBLE DEL URABÁ ¿ CORPOURABA"|30-01-25-0039|2015-12-17|2020-12-17|2016-01-01|2017-08-03
110|66.0|RISARALDA|66001.0|PEREIRA|2021|Cabecera Municipal|404.270|RISARALDA-PEREIRA|169701.16799999998|3323.5299999999997|0.019208413818471166|5769636.0|21670|ATESA DE OCCIDENTE S.A.S  E.S.P.|RISARALDA|PEREIRA|LA GLORITA|22166001|1997-04-10|Relleno sanitario|-757978000|48530000.0|"28|EMPRESA OPERADORA"|"45|CORPORACIÓN AUTÓNOMA REGIONAL DE RISARALDA - CARDER"|Aprobacion PMA|216|2000-03-02|2025-02-18|2025-03-18|2022-06-25|2.0|3130489.0|"45|CORPORACIÓN AUTÓNOMA REGIONAL DE RISARALDA - CARDER"|2883|2010-09-10|2020-12-03|2016-04-01|2016-06-14
111|66.0|RISARALDA|66001.0|PEREIRA|2021|Centros Poblados y Rural Disperso|76.533|RISARALDA-PEREIRA|169701.16799999998|3323.5299999999997|0.019208413818471166|5769636.0|21670|ATESA DE OCCIDENTE S.A.S  E.S.P.|RISARALDA|PEREIRA|LA GLORITA|22166001|1997-04-10|Relleno sanitario|-757978000|48530000.0|"28|EMPRESA OPERADORA"|"45|CORPORACIÓN AUTÓNOMA REGIONAL DE RISARALDA - CARDER"|Aprobacion PMA|216|2000-03-02|2025-02-18|2025-03-18|2022-06-25|2.0|3130489.0|"45|CORPORACIÓN AUTÓNOMA REGIONAL DE RISARALDA - CARDER"|2883|2010-09-10|2020-12-03|2016-04-01|2016-06-14
112|66.0|RISARALDA|66001.0|PEREIRA|2021|Total|480.803|RISARALDA-PEREIRA|169701.16799999998|3323.5299999999997|0.019208413818471166|5769636.0|21670|ATESA DE OCCIDENTE S.A.S  E.S.P.|RISARALDA|PEREIRA|LA GLORITA|22166001|1997-04-10|Relleno sanitario|-757978000|48530000.0|"28|EMPRESA OPERADORA"|"45|CORPORACIÓN AUTÓNOMA REGIONAL DE RISARALDA - CARDER"|Aprobacion PMA|216|2000-03-02|2025-02-18|2025-03-18|2022-06-25|2.0|3130489.0|"45|CORPORACIÓN AUTÓNOMA REGIONAL DE RISARALDA - CARDER"|2883|2010-09-10|2020-12-03|2016-04-01|2016-06-14
113|||||2021|||ANTIOQUIA-CARAMANTA|||0.0||26545|EMPRESAS PUBLICAS DE CARAMANTA S.A.S. E.S.P.|ANTIOQUIA|CARAMANTA|RELLENO SANITARIO EL JARDIN|652705145|2003-05-30|Relleno sanitario|-756365140|55561180.0|"29|MUNICIPIO"|"53|CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA -  CORANTIOQUIA"|Licencia ambiental|130CA-2446|2003-05-30|2020-10-28|2020-10-28|2022-06-25|0.0|1705000.0|"53|CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA -  CORANTIOQUIA"|CA14108896|2014-10-28|2020-10-28|2016-01-01|2017-08-17
114|||||2021|||ANTIOQUIA-COCORNA|||0.0||2514|EMPRESA DE SERVICIOS PUBLICOS DE COCORNA E.S.P.|ANTIOQUIA|COCORNA|RELLENO SANITARIO DE COCORNA|803605197|1997-12-22|Relleno sanitario|-670000000|60326010.0|"29|MUNICIPIO"|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|Licencia ambiental|112 - 3164|2007-06-29|2016-12-12|2016-12-12|2022-06-25|0.0|540000.0|"41|CORPORACIÓN AUTÓNOMA REGIONAL DE LOS RÍOS NEGRO Y NARE - CORNARE"|112-  3164|2007-06-12|2016-12-12|2016-01-01|2017-12-21
